Altura,Desplazamiento
5.000000000000000000e-01,3.117702165612957765e-01
6.666666666666666297e-01,4.156937633790326880e-01
8.333333333333332593e-01,5.196173015613074764e-01
1.000000000000000000e+00,6.235408291069050035e-01
1.166666666666666519e+00,7.274643486523202363e-01
1.333333333333333259e+00,8.313878814366957304e-01
1.500000000000000000e+00,9.353114273685260160e-01
1.666666666666666519e+00,1.039234955215815548e+00
1.833333333333333259e+00,1.143158488523379201e+00
2.000000000000000000e+00,1.247082033044185856e+00
